number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,state
103,0.80439658082384,2022-08-29 21:22:43.543245,2022-08-29 21:23:04.741252,0 days 00:00:21.198007,2.029577538225509,gbtree,0.018644575774120296,0.060742806678159664,depthwise,1.934399874247501e-07,5,COMPLETE
104,0.6047390211474544,2022-08-29 21:23:04.743484,2022-08-29 21:23:26.075731,0 days 00:00:21.332247,0.6170826206975903,gbtree,0.012139244577568707,0.1449219349725084,depthwise,1.3080026234469785e-05,5,COMPLETE
105,0.8833169938022687,2022-08-29 21:23:26.076854,2022-08-29 21:23:47.559413,0 days 00:00:21.482559,0.34069784365072014,gbtree,0.03686376397529517,0.26868746837455926,depthwise,4.961203940109215e-07,5,COMPLETE
106,0.8832320885940415,2022-08-29 21:23:47.560153,2022-08-29 21:24:09.158875,0 days 00:00:21.598722,0.3220162030698382,gbtree,0.03758921104787991,0.24608460978215538,depthwise,4.896573700378442e-07,5,COMPLETE
107,0.03698898774313715,2022-08-29 21:24:09.161122,2022-08-29 21:24:30.627247,0 days 00:00:21.466125,0.0336848720832489,gbtree,0.0063573089954777305,0.6070277968650056,depthwise,4.903263971876928e-08,5,COMPLETE
108,0.8847233041204376,2022-08-29 21:24:30.628019,2022-08-29 21:24:52.287038,0 days 00:00:21.659019,4.2909341882229475,gbtree,0.042314734509084004,0.25466022550363143,depthwise,5.943357287281775e-07,5,COMPLETE
109,0.8833297280280288,2022-08-29 21:24:52.289070,2022-08-29 21:25:14.047946,0 days 00:00:21.758876,18.34902927271947,gbtree,0.03874326523536366,0.3443806516390723,depthwise,3.068633887187258e-07,5,COMPLETE
110,-2.010059296551412,2022-08-29 21:25:14.050369,2022-08-29 21:25:35.825020,0 days 00:00:21.774651,23.15151957097839,gbtree,1.3552536168375292e-07,0.27469046349447535,depthwise,4.822559849261996e-07,5,COMPLETE
111,0.8390703537371664,2022-08-29 21:25:35.827420,2022-08-29 21:25:57.334374,0 days 00:00:21.506954,0.29789419498824415,gbtree,0.021496917084579178,0.3504389906241963,depthwise,1.6258359946865628e-08,5,COMPLETE
112,0.8833900371534815,2022-08-29 21:25:57.335153,2022-08-29 21:26:19.432614,0 days 00:00:22.097461,4.393427498233945,gbtree,0.03907746697593838,0.8611801566276084,depthwise,1.51828975986606e-07,5,COMPLETE
113,0.8843328595508552,2022-08-29 21:26:19.434873,2022-08-29 21:26:42.630757,0 days 00:00:23.195884,4.7348518938371855,gbtree,0.041831775718132395,0.8889596724376596,depthwise,1.2311602629833976e-07,5,COMPLETE
114,0.8835656866407777,2022-08-29 21:26:42.631556,2022-08-29 21:27:07.045761,0 days 00:00:24.414205,6.656873051244699,gbtree,0.038559445920153486,0.871452838362662,depthwise,1.5240287025445383e-07,5,COMPLETE
115,0.8851920822418972,2022-08-29 21:27:07.048168,2022-08-29 21:27:32.260852,0 days 00:00:25.212684,4.464018335554877,gbtree,0.04888351771292729,0.666982643844461,depthwise,1.2356719895022182e-07,5,COMPLETE
116,0.8849164397254762,2022-08-29 21:27:32.262017,2022-08-29 21:27:57.915663,0 days 00:00:25.653646,6.929460738264346,gbtree,0.04808169543822269,0.5492038761715783,depthwise,1.3351267553366707e-07,5,COMPLETE
117,0.8850838226742626,2022-08-29 21:27:57.916438,2022-08-29 21:28:23.738507,0 days 00:00:25.822069,7.594262394395795,gbtree,0.04790135299738697,0.9826589128736374,depthwise,3.0340811873503226e-08,5,COMPLETE
118,0.8854481211747762,2022-08-29 21:28:23.740911,2022-08-29 21:28:49.167410,0 days 00:00:25.426499,5.045784548458783,gbtree,0.04954931388765395,0.7072047341690648,depthwise,1.0892575719728089e-07,5,COMPLETE
